"scenario","alpha_true","replicate","r_hat_used","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"sce2",1.5,4,0.986995061576934,0.986995061576934,0,0.00318427705101461,5,100,46,100,100,0.55,1,0.73,0.73,0.463256407505653
"sce2",1.5,5,0.986911678630307,0.986911678630307,0,0.00317918201294114,1,100,11,100,100,0.15,1,0.555,0.555,0.11130993361455
"sce2",1.5,5,0.986911678630307,0.986911678630307,0,0.00317918201294114,2,100,32,100,100,0.3,1,0.66,0.66,0.322887099313753
"sce2",1.5,5,0.986911678630307,0.986911678630307,0,0.00317918201294114,3,100,39,100,100,0.38,1,0.695,0.695,0.393147646149771
"sce2",1.5,5,0.986911678630307,0.986911678630307,0,0.00317918201294114,4,100,50,100,100,0.45,1,0.75,0.75,0.503293348629378
"sce2",1.5,5,0.986911678630307,0.986911678630307,0,0.00317918201294114,5,100,56,100,100,0.55,1,0.78,0.78,0.563238250534615
"sce2",1.5,6,0.986891109471571,0.986891109471571,0,0.00317703226939346,1,100,20,100,100,0.15,1,0.6,0.6,0.202136513050529
"sce2",1.5,6,0.986891109471571,0.986891109471571,0,0.00317703226939346,2,100,29,100,100,0.3,1,0.645,0.645,0.292739504200978
"sce2",1.5,6,0.986891109471571,0.986891109471571,0,0.00317703226939346,3,100,41,100,100,0.38,1,0.705,0.705,0.413203103257858
"sce2",1.5,6,0.986891109471571,0.986891109471571,0,0.00317703226939346,4,100,39,100,100,0.45,1,0.695,0.695,0.393152646462276
"sce2",1.5,6,0.986891109471571,0.986891109471571,0,0.00317703226939346,5,100,61,100,100,0.55,1,0.805,0.805,0.613125313769609
"sce2",1.5,7,0.986940111222051,0.986940111222051,0,0.00318151393202511,1,100,14,100,100,0.15,1,0.57,0.57,0.141605471587094
"sce2",1.5,7,0.986940111222051,0.986940111222051,0,0.00318151393202511,2,100,29,100,100,0.3,1,0.645,0.645,0.292729111902563
"sce2",1.5,7,0.986940111222051,0.986940111222051,0,0.00318151393202511,3,100,49,100,100,0.38,1,0.745,0.745,0.493286129887428
"sce2",1.5,7,0.986940111222051,0.986940111222051,0,0.00318151393202511,4,100,38,100,100,0.45,1,0.69,0.69,0.383111604906214
"sce2",1.5,7,0.986940111222051,0.986940111222051,0,0.00318151393202511,5,100,55,100,100,0.55,1,0.775,0.775,0.553246888511394
"sce2",1.5,8,0.986969296411779,0.986969296411779,0,0.00318338417815208,1,100,14,100,100,0.15,1,0.57,0.57,0.14160180870103
"sce2",1.5,8,0.986969296411779,0.986969296411779,0,0.00318338417815208,2,100,27,100,100,0.3,1,0.635,0.635,0.272608625073246
"sce2",1.5,8,0.986969296411779,0.986969296411779,0,0.00318338417815208,3,100,38,100,100,0.38,1,0.69,0.69,0.383104573686042
"sce2",1.5,8,0.986969296411779,0.986969296411779,0,0.00318338417815208,4,100,40,100,100,0.45,1,0.7,0.7,0.403160050761866
"sce2",1.5,8,0.986969296411779,0.986969296411779,0,0.00318338417815208,5,100,63,100,100,0.55,1,0.815,0.815,0.633041575633341
"sce2",1.5,9,0.987145140743258,0.987145140743258,0,0.00317969778685189,1,100,14,100,100,0.15,1,0.57,0.57,0.141579746617636
"sce2",1.5,9,0.987145140743258,0.987145140743258,0,0.00317969778685189,2,100,26,100,100,0.3,1,0.63,0.63,0.262512516234224
"sce2",1.5,9,0.987145140743258,0.987145140743258,0,0.00317969778685189,3,100,27,100,100,0.38,1,0.635,0.635,0.272572880650692
"sce2",1.5,9,0.987145140743258,0.987145140743258,0,0.00317969778685189,4,100,43,100,100,0.45,1,0.715,0.715,0.433179485102846
"sce2",1.5,9,0.987145140743258,0.987145140743258,0,0.00317969778685189,5,100,52,100,100,0.55,1,0.76,0.76,0.523226555056308
